depth,mode,skill,closest_temp
3,crit-0-2-8-0.8,B,0.00
3,random,B,0.00
3,crit-8-10-0-0.8,C,0.00
3,exponential-2,B,0.00
3,linear-2,C,0.00
3,linear-3,B,0.06
3,crit-0-2-8-0.2,C,0.00
3,crit-8-10-0-0.2,B,0.00
3,crit-8-10-0-0.4,C,0.04
3,exponential-3,C,0.03
3,exponential-4,B,0.11
3,crit-8-10-0-1.0,B,0.99
3,crit-0-2-8-0.4,B,0.04
3,linear-4,C,0.10
3,exponential-3,A,2.03
3,crit-0-2-8-0.6,A,1.43
3,crit-8-10-0-0.4,A,2.76
3,crit-0-2-8-0.8,C,0.00
3,crit-0-2-8-0.2,A,0.92
3,crit-8-10-0-0.8,A,1.67
3,crit-0-2-8-1.0,A,0.99
3,linear-2,A,0.79
3,binary,C,0.07
3,crit-0-2-8-1.0,C,0.99
3,crit-0-2-8-0.6,C,0.08
3,crit-8-10-0-0.6,B,0.08
3,random,C,0.00
3,linear-4,A,1.58
3,binary,A,0.42
3,exponential-2,C,0.00
3,crit-8-10-0-0.8,B,0.00
3,crit-8-10-0-1.0,A,0.99
3,linear-3,C,0.06
3,crit-8-10-0-0.2,C,0.00
3,linear-3,A,1.18
3,linear-2,B,0.00
3,crit-0-2-8-0.4,C,0.04
3,crit-0-2-8-0.2,B,0.00
3,exponential-3,B,0.03
3,crit-8-10-0-0.4,B,0.04
3,crit-0-2-8-0.4,A,1.38
3,exponential-4,C,0.11
3,random,A,0.15
3,crit-8-10-0-0.6,A,2.30
3,exponential-4,A,3.99
3,crit-8-10-0-1.0,C,0.99
3,exponential-2,A,0.79
5,random,B,0.14
3,crit-0-2-8-0.6,B,0.08
3,linear-4,B,0.10
3,crit-0-2-8-1.0,B,0.99
3,crit-0-2-8-0.8,A,0.96
3,crit-8-10-0-0.2,A,3.02
3,crit-8-10-0-0.6,C,0.08
3,binary,B,0.07
5,linear-2,A,2.25
5,binary,C,0.25
5,binary,A,0.60
5,linear-2,C,0.71
5,linear-3,B,1.89
5,random,C,0.08
5,linear-4,A,4.50
5,linear-4,C,1.42
5,crit-0-2-8-0.2,C,0.39
5,exponential-2,B,2.54
5,exponential-3,A,10.59
5,crit-0-2-8-0.6,C,0.38
5,exponential-3,C,6.99
5,exponential-4,B,10.93
5,crit-0-2-8-0.2,A,2.02
5,crit-0-2-8-0.4,B,0.81
5,crit-0-2-8-1.0,C,0.69
5,crit-0-2-8-1.0,A,0.69
5,crit-0-2-8-0.8,B,0.71
5,crit-0-2-8-0.6,A,1.90
5,crit-8-10-0-1.0,B,0.69
5,crit-8-10-0-0.4,A,3.65
5,crit-8-10-0-0.4,C,1.27
5,crit-8-10-0-0.2,B,1.70
5,crit-8-10-0-0.8,A,2.01
5,crit-8-10-0-0.6,B,2.34
5,crit-8-10-0-0.8,C,1.49
5,linear-2,B,1.26
5,random,A,0.26
5,linear-3,A,3.40
5,binary,B,0.36
5,linear-3,C,1.06
5,linear-4,B,2.53
5,exponential-3,B,10.59
5,exponential-2,A,4.61
5,crit-0-2-8-0.4,A,2.11
5,exponential-2,C,1.39
5,crit-0-2-8-0.8,A,1.54
5,exponential-4,C,10.93
5,exponential-4,A,10.93
5,crit-0-2-8-0.2,B,0.82
5,crit-0-2-8-0.4,C,0.42
5,crit-0-2-8-0.8,C,0.29
5,crit-0-2-8-1.0,B,0.69
5,crit-0-2-8-0.6,B,0.78
5,crit-8-10-0-1.0,C,0.69
5,crit-8-10-0-0.2,C,0.70
5,crit-8-10-0-0.2,A,4.02
5,crit-8-10-0-1.0,A,0.69
5,crit-8-10-0-0.6,A,2.86
5,crit-8-10-0-0.8,B,1.83
5,crit-8-10-0-0.4,B,2.37
5,crit-8-10-0-0.6,C,1.58
9,random,B,0.18
9,linear-2,A,4.41
9,linear-2,C,1.39
9,binary,C,0.29
9,exponential-3,A,9.53
9,linear-4,C,2.80
9,exponential-4,B,3.97
9,exponential-2,B,6.28
9,exponential-3,C,9.53
9,crit-0-2-8-0.6,C,0.51
9,crit-0-2-8-0.2,C,0.44
9,crit-8-10-0-0.8,A,0.58
9,crit-0-2-8-0.8,B,0.99
9,crit-0-2-8-1.0,A,0.97
9,crit-0-2-8-1.0,C,0.97
9,crit-8-10-0-0.8,C,0.45
9,crit-0-2-8-0.4,B,1.00
9,crit-0-2-8-0.6,A,2.07
9,crit-8-10-0-1.0,B,0.97
9,random,C,0.11
9,crit-8-10-0-0.6,B,1.65
9,crit-8-10-0-0.4,C,1.30
9,crit-0-2-8-0.2,A,2.30
9,crit-8-10-0-0.2,B,2.09
9,crit-8-10-0-0.4,A,3.64
9,linear-2,B,2.49
9,random,A,0.32
9,linear-3,A,6.62
9,exponential-3,B,9.53
9,exponential-4,A,3.97
9,exponential-4,C,3.97
9,crit-8-10-0-0.8,B,0.61
9,exponential-2,A,6.28
9,exponential-2,C,6.28
9,crit-0-2-8-0.8,A,1.66
9,crit-0-2-8-1.0,B,0.97
9,crit-0-2-8-0.4,C,0.50
9,crit-0-2-8-0.8,C,0.46
9,crit-8-10-0-1.0,A,0.97
9,crit-0-2-8-0.6,B,1.00
9,crit-8-10-0-1.0,C,0.97
9,crit-0-2-8-0.4,A,2.29
9,crit-8-10-0-0.6,C,1.04
9,crit-8-10-0-0.2,A,4.50
9,crit-8-10-0-0.6,A,2.03
9,crit-8-10-0-0.2,C,0.73
9,crit-0-2-8-0.2,B,0.98
9,crit-8-10-0-0.4,B,2.49
